ID,Crop_ICP_Run,Crop_ICP_Run_Se,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As_Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Cd_Tot_Aqu,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_Sol_Ca,Mo_Tot_Aqu,N_pct,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni_DTPA,Ni_Sol_Ca,Ni_Tot_Aqu,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti_Tot_Aqu,U_Sol_Ca,Zn_DTPA,Zn_E,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
MWI0001,1,1,-16.08632821,35.28528102,690,5,25/04/2018,25/04/2018,Maize,Store,Main,NA,5.386,NA,NA,1.1,NA,52.276,NA,0.073,0.366,0.001,1.817,28.291,4911.643,NA,1671.119,6.324,NA,0.959,3996.044,NA,5.709,1266.71582,0.02983,0.564,NA,NA,0.108,30.659,1706.73747,0.43968,28856.5629,0.17684,NA,0,1.285,1.285,4.10582,809.24518,0.00519,0.00085,0.01534,0.71446,0.00478,31.68014,105.96247,2.15067,0.01233,40.08486,6.2231,29.94886,2383.01641,0.01605,38677.93776,0.37945,111.11811,2395.67844,1.27487,111.63001,2852.86753,76.79817,1097.63395,7.96516,1242.31458,0.00002,0.1814,0.1362,0.05688,7.72474,53.91942,0.52245,0.10298,34.96614,15.94,219.06954,0.2031,581.04892,0.21118,0.00018,6.80471,81.82859,4.95,5.83,NA,21.49943,3.03462,78.95605,6.26975,174.3997,9.31405,0.26252,1573.56183,0.00002,1.02994,2.23667,1.91567,0.18487,33.74505
MWI0002,2,2,-13.24807556,33.67314558,1099,9,23/05/2018,23/05/2018,Maize,Standing crop,Main,NA,3.688,NA,NA,0.797,NA,50.652,NA,0.021,NA,0.02,1.934,10.731,2500.2,NA,878.225,4.482,0.202,0.192,1792.877,NA,6.622,1569.22386,0.0126,0.46,NA,NA,0.074,20.764,895.36686,0.04233,13983.04832,NA,13.76075,0.0087,0.6435,0.6522,5.25268,1838.09614,0.00564,0.00019,0.00596,0.05381,0.00042,5.6622,19.97979,0.19029,0.0068,6.97149,5.13647,4.52695,793.81955,0.00846,16639.22454,0.24497,103.82921,1308.74839,0.60602,62.09756,899.87531,12.92579,240.5187,0.0041,315.4447,0.00766,0.15685,0.045,0.01896,1.60539,41.2179,0.10714,0.00296,8.71882,37.32,202.49567,2.58269,423.91738,0.07042,0.0002,2.24215,48.89972,6.91,7.75,1.16984,5.11048,3.76874,34.81612,2.95567,48.75271,4.3403,0.11902,1218.72029,0.00082,1.1729,13.31149,3.6008,0.01966,31.14718
MWI0003,2,1,-13.02639598,33.59826308,1149,7,12/05/2018,12/05/2018,Maize,Standing crop,Close pair,NA,2.496,NA,NA,0.97,NA,65.898,NA,0.009,0.318,0.001,1.645,13.182,4316.728,NA,1329.356,6.535,NA,0.321,3676.318,NA,2.079,1495.36451,0.02786,0.998,NA,NA,0.084,22.305,813.2188,0.05239,18577.29122,0.26181,NA,0,0.824,0.824,3.31436,835.23772,0.0048,0.00039,0.03567,0.0877,0.00033,6.01065,15.32184,0.14381,0.00485,5.60131,5.9457,16.73925,698.22812,0.00619,18831.16449,0.12065,58.80084,1566.43169,0.71448,67.44862,1494.80367,28.32402,389.98613,0.28694,517.73485,0.00016,0.14325,0.052,0.02674,2.8846,44.79879,0.16293,0.01307,8.91226,13.58,58.41769,0.38618,263.19245,0.12295,0.00012,3.70418,33.86014,5.03,6.04,2.68925,17.61034,5.93584,36.01974,3.34453,45.97586,6.57003,0.15195,726.1001,0.00002,0.50922,1.98324,2.16681,0.05612,21.44883
MWI0004,2,1,-12.95081497,33.47654167,1030,6,01/05/2018,01/05/2018,Maize,Field stack,Close pair,NA,NA,NA,NA,0.601,NA,39.465,NA,0.011,NA,0.003,2.391,16.04,3458.066,NA,944.712,4.703,NA,0.242,2193.072,NA,5.333,1436.81389,0.00898,0.438,NA,NA,0.091,18.115,2022.95629,0.3398,23853.46355,0.87365,NA,0,0.6192,0.6192,1.34009,410.88692,0.01,0.00242,0.0307,0.24129,0.00257,11.45533,73.60609,0.54728,0.00275,17.20646,3.54447,7.72142,1567.45296,0.00524,26591.22154,0.41125,193.99378,1214.42577,0.84269,94.75006,1108.67326,40.23946,367.37034,5.51883,526.62191,0.00017,0.05533,0.0568,0.02122,2.06839,56.18605,0.21992,0.06497,25.35534,3.48,NA,0.14279,159.85533,0.52769,0.00026,11.84217,49.77646,5.09,6.24,NA,7.94044,5.26578,37.65836,3.86804,111.72312,4.74669,0.11593,776.90657,0.00002,1.18683,2.78981,1.69882,0.2564,34.2654
MWI0005,3,3,-14.60188511,34.72054065,600,5,27/04/2018,27/04/2018,Maize,Standing crop,Close pair,NA,NA,NA,NA,NA,NA,50.965,NA,0.01,0.184,NA,1.788,NA,4002.645,NA,1202.401,6.005,0.66,0.242,3184.318,NA,2.14,2222.26381,0.10098,0.257,NA,NA,0.167,19.683,1331.01455,0.03826,19645.35574,0.46202,9.7095,0,1.293,1.293,9.28592,6954.97053,0.00827,0.0001,0.02855,0.04153,0.0008,11.60541,66.55255,0.3211,0.00751,17.89879,10.71248,13.08666,1925.97463,0.01147,28960.99539,0.63019,238.95764,5098.0561,2.27912,193.18487,7010.64554,10.83668,351.00306,0.01051,485.46758,0.00142,0.3241,0.0942,0.0459,7.05967,405.01182,0.60555,0.01241,32.24339,45.46,644.61593,6.11444,1748.8545,0.06483,0.00007,3.32978,57.20481,6.33,6.99,NA,88.51392,2.74227,140.64775,2.67449,129.33291,4.59823,0.31213,2256.88021,0.00009,1.25217,8.69259,3.28655,0.02024,43.88608
MWI0006,3,3,-14.67514604,34.8639561,675,5,27/04/2018,27/04/2018,Maize,Standing crop,Close pair,NA,12.491,NA,NA,NA,NA,55.362,NA,0.014,0.543,0.001,2.879,NA,3115.668,NA,978.904,6.154,0.296,0.332,2299.6,0.01,4.731,2071.84045,NA,0.577,NA,NA,0.193,19.963,1429.96431,0.0878,28378.8591,0.42338,17.90929,0,1.136,1.136,5.08908,1737.5786,0.00605,0.0007,0.02318,0.34959,0.07795,10.81761,60.1323,0.59416,0.00626,19.92101,7.43906,10.58747,1319.14681,0.01198,36751.09065,0.33449,128.47277,1978.26255,1.8587,155.57278,2041.49259,56.67759,274.70628,31.6057,405.99352,0.00015,0.31293,0.0804,0.04312,6.44115,141.41293,0.33497,0.03249,18.39257,6.12,6.65818,NA,163.38134,0.19433,0.00009,4.97857,56.42699,5.53,5.84,1.45741,61.59267,3.6976,74.64453,2.37996,171.48092,5.80104,0.25975,1218.30493,0.00004,0.51649,2.21021,1.9681,0.11664,28.18173
MWI0007,7,5,-14.64937048,35.01058007,759,5,17/05/2018,17/05/2018,Maize,Store,Main,NA,2.525,NA,NA,0.86,NA,87.908,NA,0.029,NA,0.019,1.843,NA,4669.086,NA,1636.603,7.06,0.699,NA,3804.076,NA,15.131,1684.97435,0.00581,0.66,NA,NA,0.357,25.537,736.34603,0.151,6085.48153,0.44576,NA,0,0.33,0.33,1.37283,509.40685,0.00144,0.00039,0.00464,0.04714,0.0012,2.12138,6.84692,0.0712,0.00139,2.81029,0.96545,10.20882,730.46583,0.01278,7163.30726,0.06781,36.82863,518.71176,0.29903,29.29974,314.72441,15.85555,164.84022,1.14934,254.2973,0.00011,0.02235,0.0127,0.02373,3.22619,64.47937,0.03542,0.01253,2.40637,6.15866,5.08169,0.13837,178.5831,0.14787,0.00027,6.26523,13.85154,5.29,6.34,0.31412,18.17155,1.03921,10.08092,1.24355,25.33206,0.84313,0.50186,445.74676,0.00003,0.19016,0.91913,2.14255,0.04385,8.31891
MWI0011,3,3,-9.740945329,33.5224776,1298,5,29/05/2018,29/05/2018,Maize,Standing crop,Main,NA,11.129,NA,NA,0.545,NA,69.763,NA,0.022,0.884,0.001,1.963,NA,3500.092,NA,1072.577,6.053,0.318,0.747,2127.571,0.038,7.242,1683.72197,0.03028,0.382,NA,NA,0.185,19.626,1000.07325,4.52569,21180.38431,0.36419,9.83272,0,0.4883,0.4883,0.55111,180.70512,0.00153,0.00172,0.00655,0.20414,0.44769,11.09472,88.6057,0.23523,0.00808,17.33428,1.75441,13.63011,936.87977,0.01865,37203.19874,0.16838,81.23328,5241.63965,0.30175,37.29857,4370.37455,34.62587,163.58656,43.61323,407.58184,0.00006,0.09787,0.038,0.01998,2.10428,50.12349,0.06797,0.0563,31.21417,10.36,NA,NA,156.7919,0.65524,0.00101,9.86856,41.22521,5.11,5.24,2.75504,31.25047,5.06743,55.74553,5.42407,68.55102,12.26088,0.39306,1224.68143,0.00015,0.1181,1.09178,0.94105,0.32842,35.71036
MWI0012,3,2,-13.83229413,33.52922905,1164,5,17/05/2018,17/05/2018,Maize,Standing crop,Main,NA,8.282,NA,NA,NA,NA,64.265,NA,0.016,0.057,0.216,1.752,17.529,3626.01,NA,1041.916,5.574,0.186,NA,2254.552,NA,26.852,1513.38603,0.00953,0.636,NA,NA,0.184,19.625,2212.40882,NA,53113.72914,0.40273,NA,0,1.399,1.399,3.26544,1036.91056,0.01218,0.0011,0.02649,0.30632,0.08263,25.31335,113.25664,0.3147,0.00773,37.75439,4.68194,6.54614,1066.31296,0.00635,54916.46739,0.16189,65.31076,315.55329,0.98292,99.99359,484.02043,63.75125,394.06644,27.41089,647.78354,0.00008,0.48801,0.092,0.02056,1.87907,48.54986,0.03211,0.01244,47.10384,6.9,NA,NA,421.82677,0.1668,0.00011,10.04877,91.43596,5.44,5.75,8.60857,101.07437,6.96977,107.53121,7.74842,206.45914,10.98164,0.36187,668.93953,0.00004,0.18508,4.59234,2.6873,0.06791,37.06371
MWI0013,1,1,-15.82040319,35.19163881,888,5,17/05/2018,17/05/2018,Maize,Store,Close pair,NA,3.989,NA,NA,0.55,NA,55.365,NA,0.017,0.54,NA,2.348,22.688,3716.109,NA,1267.505,5.093,NA,0.385,3195.146,NA,6.192,1400.56359,0.03131,0.575,NA,NA,0.086,23.707,766.05729,1.29033,9933.15906,0.21292,NA,0,0.5583,0.5583,1.0588,419.46409,0.00201,0.00135,0.00615,0.07879,0.10182,1.69832,5.10351,0.08803,0.0061,0.63489,2.38793,26.38831,1305.89661,0.04362,18603.24617,0.07627,34.24104,406.73918,0.24932,28.88831,634.9825,9.90266,117.21187,13.7526,285.67156,0.00018,0.18388,0.0437,0.0391,4.21485,69.51207,0.02926,0.01521,NA,11.24,107.83971,0.18888,345.4241,0.18469,0.00037,6.83953,32.07044,5.01,5.52,NA,2.68042,2.4196,28.43109,2.43393,76.05882,3.89515,0.22174,2248.17636,0.00004,0.33835,0.79887,1.09651,0.20908,21.11281
